"scientificName" "plot_id" "year" "occurrenceStatus" "decimalLatitude" "decimalLongitude"
"Agrostis canina" 1 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 1 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 1 1998 "PRESENT" 57.116344 -3.829717
"Juncus effusus" 1 1998 "PRESENT" 57.116344 -3.829717
"Luzula sylvatica" 1 1998 "PRESENT" 57.116344 -3.829717
"Sorbus aucuparia" 1 1998 "PRESENT" 57.116344 -3.829717
"Gymnocarpium dryopteris" 1 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 1 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 1 1998 "PRESENT" 57.116344 -3.829717
"Viola palustris" 1 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 1 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 1 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 1 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus triquetrus" 1 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum fimbriatum" 1 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 1 1998 "PRESENT" 57.116344 -3.829717
"Betula pendula" 1 1998 "PRESENT" 57.116344 -3.829717
"Polytrichum" 1 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 3 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 3 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 3 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 3 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 3 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 3 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 3 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 3 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus squarrosus" 3 1998 "PRESENT" 57.116344 -3.829717
"Cladonia fimbriata" 3 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 3 1998 "PRESENT" 57.116344 -3.829717
"Cladonia squamosa" 3 1998 "PRESENT" 57.116344 -3.829717
"Hypogymnia physodes" 3 1998 "PRESENT" 57.116344 -3.829717
"Cladonia cervicornis" 3 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 3 1998 "PRESENT" 57.116344 -3.829717
"Blechnum spicant" 4 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 4 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 4 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 4 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 4 1998 "PRESENT" 57.116344 -3.829717
"Juniperus communis subsp. communis" 4 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 4 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 4 1998 "PRESENT" 57.116344 -3.829717
"Dicranum scoparium" 4 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 4 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 4 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 4 1998 "PRESENT" 57.116344 -3.829717
"Calypogeia azurea" 4 1998 "PRESENT" 57.116344 -3.829717
"Cephalozia bicuspidata" 4 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 4 1998 "PRESENT" 57.116344 -3.829717
"Plagiothecium" 4 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 5 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 5 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 5 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 5 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 5 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 5 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 5 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 5 1998 "PRESENT" 57.116344 -3.829717
"Cladonia fimbriata" 5 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 5 1998 "PRESENT" 57.116344 -3.829717
"Cladonia squamosa" 5 1998 "PRESENT" 57.116344 -3.829717
