Field name	Latin name	BRC concept	Name in BRC database
3365	Abies alba	Vas_2395	Abies alba
3366	Abies grandis	Vas_2396	Abies grandis
102	Acer campestre (c)	Vas_3	Acer campestre
2599	Acer campestre (g)	Vas_3	Acer campestre
2598	Acer campestre (s)	Vas_3	Acer campestre
2753	Acer platanoides (c)	Vas_4	Acer platanoides
2653	Acer platanoides (g)	Vas_4	Acer platanoides
103	Acer pseudoplatanus (c)	Vas_5	Acer pseudoplatanus
2601	Acer pseudoplatanus (g)	Vas_5	Acer pseudoplatanus
2600	Acer pseudoplatanus (s)	Vas_5	Acer pseudoplatanus
2781	Acer seedling/sp	Vas_4661	Acer
104	Achillea millefolium	Vas_7	Achillea millefolium
105	Achillea ptarmica	Vas_9	Achillea ptarmica
2650	Aconitum napellus	Vas_14	Aconitum napellus
107	Acorus calamus	Vas_15	Acorus calamus
109	Adoxa moschatellina	Vas_19	Adoxa moschatellina
110	Aegopodium podagraria	Vas_20	Aegopodium podagraria
111	Aesculus hippocastanum (c)	Vas_2241	Aesculus hippocastanum
112	Aethusa cynapium	Vas_21	Aethusa cynapium
113	Agrimonia eupatoria	Vas_22	Agrimonia eupatoria
114	Agrimonia procera	Vas_23	Agrimonia procera
119	Agrostemma githago	Vas_34	Agrostemma githago
120	Agrostis canina	Vas_35.2	Agrostis canina
123	Agrostis capillaris	Vas_40	Agrostis capillaris
3079	Agrostis curtisii	Vas_38	Agrostis curtisii
121	Agrostis gigantea	Vas_36	Agrostis gigantea
2767	Agrostis sp	Vas_4579	Agrostis
122	Agrostis stolonifera	Vas_39	Agrostis stolonifera
2701	Agrostis vinealis	Vas_35.1	Agrostis vinealis
124	Aira caryophyllea	Vas_41	Aira caryophyllea
125	Aira praecox	Vas_42	Aira praecox
127	Ajuga reptans	Vas_46	Ajuga reptans
129	Alchemilla alpina	Vas_48	Alchemilla alpina
131	Alchemilla filicaulis	Vas_4480	Alchemilla filicaulis
2705	Alchemilla filicaulis vestita	Vas_57	Alchemilla filicaulis subsp. vestita
132	Alchemilla glabra	Vas_51	Alchemilla glabra
135	Alchemilla minima	Vas_53	Alchemilla minima
136	Alchemilla mollis	Vas_2255	Alchemilla mollis
139	Alchemilla tytthantha	Vas_2275	Alchemilla tytthantha
141	Alchemilla xanthochlora	Vas_60	Alchemilla xanthochlora
2320	Alectoria nigricans	Fun_8061	Alectoria nigricans
2786	Alectoria sp	Fun_8060	Alectoria
3263	Algal mat	Alg_2335	Algae(group not known)
144	Alliaria petiolata	Vas_64	Alliaria petiolata
151	Allium ursinum	Vas_75	Allium ursinum
152	Allium vineale	Vas_76	Allium vineale
153	Alnus glutinosa (c)	Vas_77	Alnus glutinosa
2603	Alnus glutinosa (g)	Vas_77	Alnus glutinosa
2602	Alnus glutinosa (s)	Vas_77	Alnus glutinosa
3377	Alnus incana	Vas_78	Alnus incana
156	Alopecurus geniculatus	Vas_82	Alopecurus geniculatus
158	Alopecurus pratensis	Vas_85	Alopecurus pratensis
4325	Alopecurus sp	Vas_4682	Alopecurus
1460	Amblystegium serpens	Bry_19	Amblystegium serpens
1461	Amblystegium varium	Bry_20	Hygroamblystegium varium
1463	Amphidium mougeotii	Bry_22	Amphidium mougeotii
161	Anagallis arvensis	Vas_99	Anagallis arvensis
163	Anagallis tenella	Vas_100	Anagallis tenella
2056	Anastrepta orcadensis	Bry_683	Anastrepta orcadensis
2057	Anastrophyllum donianum	Bry_684	Anastrophyllum donnianum
1464	Andreaea alpina	Bry_23	Andreaea alpina
1465	Andreaea rothii	Bry_1067	Andreaea rothii
1466	Andreaea rupestris	Bry_1068	Andreaea rupestris
166	Anemone nemorosa	Vas_105	Anemone nemorosa
2256	Aneura pinguis	Bry_901	Aneura pinguis
167	Angelica sylvestris	Vas_109	Angelica sylvestris
1469	Anomobryum filiforme	Bry_1503	Anomobryum julaceum s.l.
168	Antennaria dioica	Vas_116	Antennaria dioica
2059	Anthelia julacea	Bry_686	Anthelia julacea
2060	Anthelia juratzkana	Bry_687	Anthelia juratzkana
3385	Anthemis tinctoria	Vas_120	Anthemis tinctoria
171	Anthoxanthum odoratum	Vas_121	Anthoxanthum odoratum
173	Anthriscus sylvestris	Vas_125	Anthriscus sylvestris
174	Anthyllis vulneraria	Vas_126	Anthyllis vulneraria
175	Antirrhinum majus	Vas_127	Antirrhinum majus
177	Aphanes arvensis	Vas_132	Aphanes arvensis
180	Apium inundatum	Vas_135	Apium inundatum
185	Arabis hirsuta	Vas_146	Arabis hirsuta
2792	Arctium agg	Vas_22000	Arctium minus agg.
2765	Arctium lappa	Vas_151	Arctium lappa
186	Arctium minus	Vas_2405	Arctium minus
188	Arctium minus ssp pubens	Vas_154	Arctium minus subsp. pubens
189	Arctostaphylos uva-ursi	Vas_155	Arctostaphylos uva-ursi
194	Arenaria serpyllifolia	Vas_162	Arenaria serpyllifolia
195	Armeria maritima	Vas_166	Armeria maritima
