"speciesKey","count","common_name","sci_name"
"2440958",6943,"red deer","Cervus elaphus"
"5220126",5692,"European roe deer","Capreolus capreolus"
"2684709",4886,"Common Juniper","Juniperus communis"
"8211070",3279,"Eurasian red squirrel","Sciurus vulgaris"
"2882482",2324,"Heather","Calluna vulgaris"
"1423540",2319,"large red damselfly","Pyrrhosoma nymphula"
"5285637",2083,"Scots Pine","Pinus sylvestris"
"4265185",2006,"European water vole","Arvicola amphibius"
"3012167",1762,"European Mountain-Ash","Sorbus aucuparia"
"1425221",1577,"common hawker","Aeshna juncea"
"2882833",1577,"bilberry","Vaccinium myrtillus"
"2436756",1490,"mountain hare","Lepus timidus"
"1427915",1382,"Four Spotted Chaser","Libellula quadrimaculata"
"1428334",1360,"Black Darter","Sympetrum danae"
"5365576",1260,"Erect cinquefoil","Potentilla erecta"
"2882835",1192,"Alpine Cranberry","Vaccinium vitis-idaea"
"8059811",1136,"Tufted Hair Grass","Deschampsia cespitosa"
"2522210",1133,"Devil's Tooth","Hydnellum peckii"
"5333412",1125,"Crossleaf heath","Erica tetralix"
"5051273",1046,"common blue damselfly","Enallagma cyathigerum"
"5332004",981,"Arctic dwarf birch","Betula nana"
"2914547",975,"Heath bedstraw","Galium saxatile"
"2702717",968,"Mat-Grass","Nardus stricta"
"3027648",914,"alpine lady's-mantle","Alchemilla alpina"
"2436940",893,"European rabbit","Oryctolagus cuniculus"
"7872906",867,"European mole","Talpa europaea"
"2701311",861,"Common Rush","Juncus effusus"
"2730185",850,"Hare-Tail Cotton-Grass","Eriophorum vaginatum"
"7562246",827,"NA","Phellodon fuligineoalbus"
"2730127",812,"Common Cotton-Grass","Eriophorum angustifolium"
"2705975",809,"Scented Vernal Grass","Anthoxanthum odoratum"
"2726894",787,"Star Sedge","Carex echinata"
"1424038",781,"common spreadwing","Lestes sponsa"
"2724925",767,"Black Sedge","Carex nigra"
"8925249",760,"Black Crowberry","Empetrum nigrum"
"4270733",728,"Tufted Bulrush","Trichophorum caespitosum"
"1315050",720,"Narrow-headed Ant","Formica exsecta"
"1422001",713,"northern damselfly","Coenagrion hastulatum"
"2682851",702,"Green Shield-Moss","Buxbaumia viridis"
"5602614",702,"bog asphodel","Narthecium ossifragum"
"5357013",693,"Bird'S-Foot Trefoil","Lotus corniculatus"
"2888811",688,"Devilsbit","Succisa pratensis"
"2724609",684,"Grass-like sedge","Carex panicea"
"2726725",643,"Beaked Sedge","Carex rostrata"
"2888292",643,"intermediate wintergreen","Pyrola media"
"2679696",642,"Splendid Feather Moss","Hylocomium splendens"
"7952072",642,"European hare","Lepus europaeus"
"1421161",640,"golden-ringed dragonfly","Cordulegaster boltonii"
"5275365",638,"Deer Fern","Struthiopteris spicant"
"5415065",637,"Butterwort","Pinguicula vulgaris"
"5755302",630,"NA","Calathus micropterus"
"2701727",621,"heath rush","Juncus squarrosus"
"1434182",620,"NA","Rhyacophila dorsalis"
"5289877",620,"Moor Grass","Molinia caerulea"
"7296321",619,"common dog-violet","Viola riviniana"
"5331355",614,"Marsh Violet","Viola palustris"
"3040249",608,"European aspen","Populus tremula"
"5410907",605,"Bluebell","Campanula rotundifolia"
"9148812",599,"creeping willow","Salix repens"
"5372876",593,"Eared willow","Salix aurita"
"5334220",578,"Twinflower","Linnaea borealis"
"3191030",561,"Round-Leaf Sundew","Drosera rotundifolia"
"9118014",558,"Downy Birch","Betula pubescens"
"5371685",557,"Cowflock","Caltha palustris"
"2679715",554,"Schreber'S Big Red Stem Moss","Pleurozium schreberi"
"3033312",532,"Greater Creeping Spearwort","Ranunculus flammula"
"2889299",529,"Alpine Bistort","Bistorta vivipara"
"2704930",527,"Viviparous Sheep's-fescue","Festuca vivipara"
"2729473",527,"looseflower alpine sedge","Carex rariflora"
"5341449",515,"Mother Of Thyme","Thymus praecox"
"8211958",514,"Cuckoo-Bread","Oxalis acetosella"
"5347644",512,"petty whin","Genista anglica"
"5333411",503,"Bell Heather","Erica cinerea"
"1920494",500,"Green-veined White","Pieris napi"
"5219243",499,"red fox","Vulpes vulpes"
"2700934",493,"Common Wood-Rush","Luzula multiflora"
"2701339",493,"Bulbous Rush","Juncus bulbosus"
"2888951",493,"Garden Sorrel","Rumex acetosa"
"2688495",483,"Fir Club Moss","Huperzia selago"
"1314847",480,"Sinister mound ant","Formica lugubris"
"3033363",480,"Meadow Buttercup","Ranunculus acris"
"4470765",476,"Violet Ground Beetle","Carabus violaceus"
"4471113",459,"NA","Carabus glabratus"
"5358748",447,"Dutch Clover","Trifolium repens"
"8165236",447,"Evergreen Saxifrage","Saxifraga aizoides"
"7270427",433,"field gentian","Gentianella campestris"
"2726956",432,"flea sedge","Carex pulicaris"
"3113239",430,"Marsh thistle","Cirsium palustre"
"8208358",430,"Buckhorn","Plantago lanceolata"
"3120060",429,"Bloodwort","Achillea millefolium"
"2706164",427,"Common Velvetgrass","Holcus lanatus"
"5135191",425,"Scotch Argus","Erebia aethiops"
"1437978",423,"NA","Polycentropus flavomaculatus"
"3027640",422,"smooth lady's-mantle","Alchemilla glabra"
"1037319",421,"London riverbank ground beetle","Trechus obtusus"
"7874883",411,"Bird'S-Eye","Veronica chamaedrys"
"2873865",410,"Bitter Flax","Linum catharticum"
"2675446",409,"common broom moss","Dicranum scoparium"
"3085458",407,"Common Chickweed","Cerastium fontanum"
"2882580",405,"Bear-Grape","Arctostaphylos uva-ursi"
"2522326",396,"Ridged Tooth","Hydnellum scrobiculatum"
"9063248",389,"Lady'S Bedstraw","Galium verum"
"2722383",387,"Bigelow'S Sedge","Carex bigelowii"
"3172049",379,"Common Gypsyweed","Veronica officinalis"
"5053104",379,"NA","Sericostoma personatum"
"3992189",378,"Interrupted Club-Moss","Spinulum annotinum"
"7960979",375,"California Nettle","Urtica dioica"
"5341297",369,"Common Selfheal","Prunella vulgaris"
"2723521",368,"Green-ribbed Sedge","Carex binervis"
"2650832",360,"Common Oak Fern","Gymnocarpium dryopteris"
"3033263",360,"European Thimbleweed","Anemone nemorosa"
"2688197",357,"northern spike-moss","Selaginella selaginoides"
"2706490",357,"Bent Grass","Agrostis capillaris"
"2701261",356,"Joint-Leaf Rush","Juncus articulatus"
"2522171",355,"Woolly Tooth","Phellodon tomentosus"
"7104074",355,"Lapland willow","Salix lapponum"
"2682005",354,"Heath Plait-moss","Hypnum jutlandicum"
"2700859",354,"great woodrush","Luzula sylvatica"
"5331916",353,"European White Birch","Betula pendula"
"2729936",351,"Hair Sedge","Carex capillaris"
"3191414",350,"heath milkwort","Polygala serpyllifolia"
"2840931",348,"Creeping Lady'S-Tresses","Goodyera repens"
"1429207",347,"white-faced darter","Leucorrhinia dubia"
"3033339",344,"Creeping Buttercup","Ranunculus repens"
"2522137",342,"Grey Tooth","Phellodon melaleucus"
"2725816",338,"Sheathed Sedge","Carex vaginata"
"7972010",337,"Cuckoo Flower","Cardamine pratensis"
"5414202",335,"Bog-Myrtle","Myrica gale"
